scenario_name,algorithm_name,algorithm_type,makespan,total_energy,energy_efficiency,success_rate,execution_time,additional_metrics
complex_heterogeneous_run_2,Min-Min,heuristic,3.704755043227666,1.0511352249316845,16.172990493306763,0.3617021276595745,0.0002713203430175781,"{'scheduled_tasks': 17, 'total_tasks': 47}"
complex_heterogeneous_run_3,Min-Min,heuristic,3.9709665564130834,2.097205966669168,8.582847982541278,0.35294117647058826,0.00036406517028808594,"{'scheduled_tasks': 18, 'total_tasks': 51}"
complex_heterogeneous_run_4,Min-Min,heuristic,3.144192841490139,1.4041810828572643,12.81885949023977,0.375,0.0003170967102050781,"{'scheduled_tasks': 18, 'total_tasks': 48}"
complex_heterogeneous_run_5,Min-Min,heuristic,2.636289555887546,1.6514635536808564,11.504946601850186,0.37254901960784315,0.00038313865661621094,"{'scheduled_tasks': 19, 'total_tasks': 51}"
complex_heterogeneous_run_1,Max-Min,heuristic,8.922814982973893,6.2056258388749335,3.061737928344816,0.36538461538461536,0.00037288665771484375,"{'scheduled_tasks': 19, 'total_tasks': 52}"
complex_heterogeneous_run_2,Max-Min,heuristic,7.7072538860103625,2.3586227868361025,7.207595930506588,0.3617021276595745,0.00037407875061035156,"{'scheduled_tasks': 17, 'total_tasks': 47}"
complex_heterogeneous_run_3,Max-Min,heuristic,8.09988551803091,5.0724502527208,3.5485808836360735,0.35294117647058826,0.0004458427429199219,"{'scheduled_tasks': 18, 'total_tasks': 51}"
complex_heterogeneous_run_4,Max-Min,heuristic,5.5849965588437716,3.663753040486296,4.912994899244309,0.375,0.00035309791564941406,"{'scheduled_tasks': 18, 'total_tasks': 48}"
complex_heterogeneous_run_5,Max-Min,heuristic,9.384092725819345,4.806637424076982,3.9528673215139727,0.37254901960784315,0.00032401084899902344,"{'scheduled_tasks': 19, 'total_tasks': 51}"
complex_heterogeneous_run_1,HEFT,heuristic,16.058716220119496,12.192560869434047,4.264895665221619,1.0,0.0007500648498535156,"{'scheduled_tasks': 52, 'total_tasks': 52}"
complex_heterogeneous_run_2,HEFT,heuristic,30.405429649584413,17.32536189633399,2.7127860463304434,1.0,0.0005328655242919922,"{'scheduled_tasks': 47, 'total_tasks': 47}"
complex_heterogeneous_run_3,HEFT,heuristic,17.151374331581113,9.782799454801713,5.213231676232263,1.0,0.0005559921264648438,"{'scheduled_tasks': 51, 'total_tasks': 51}"
complex_heterogeneous_run_4,HEFT,heuristic,15.35279151943463,8.830013855786255,5.436005060008585,1.0,0.00043487548828125,"{'scheduled_tasks': 48, 'total_tasks': 48}"
complex_heterogeneous_run_5,HEFT,heuristic,19.277507733097657,13.783734145539505,3.700013324510027,1.0,0.0007619857788085938,"{'scheduled_tasks': 51, 'total_tasks': 51}"
complex_heterogeneous_run_1,Power-Aware Min-Min,heuristic,11.484005037783376,2.7886628194825214,6.813301295251513,0.36538461538461536,0.0026350021362304688,"{'scheduled_tasks': 19, 'total_tasks': 52}"
complex_heterogeneous_run_2,Power-Aware Min-Min,heuristic,12.76656453466105,4.115131434829112,4.131095268578209,0.3617021276595745,0.003468036651611328,"{'scheduled_tasks': 17, 'total_tasks': 47}"
complex_heterogeneous_run_3,Power-Aware Min-Min,heuristic,20.010136113524474,3.742664642673483,4.809407659656658,0.35294117647058826,0.0041980743408203125,"{'scheduled_tasks': 18, 'total_tasks': 51}"
complex_heterogeneous_run_4,Power-Aware Min-Min,heuristic,29.356989666601674,6.628103398710234,2.7157089920327175,0.375,0.0034608840942382812,"{'scheduled_tasks': 18, 'total_tasks': 48}"
complex_heterogeneous_run_5,Power-Aware Min-Min,heuristic,21.464992220493443,4.61443220299691,4.117516340940099,0.37254901960784315,0.002499103546142578,"{'scheduled_tasks': 19, 'total_tasks': 51}"
complex_heterogeneous_run_1,Power-Aware Min-Min,heuristic,7.713497562227354,1.8893142591297918,10.056558832489467,0.36538461538461536,0.0016620159149169922,"{'scheduled_tasks': 19, 'total_tasks': 52}"
complex_heterogeneous_run_2,Power-Aware Min-Min,heuristic,22.246160409556314,4.951500106304468,3.433302965772908,0.3617021276595745,0.0021309852600097656,"{'scheduled_tasks': 17, 'total_tasks': 47}"
complex_heterogeneous_run_3,Power-Aware Min-Min,heuristic,13.051574375678609,7.403091978677012,2.4314165016246,0.35294117647058826,0.004018068313598633,"{'scheduled_tasks': 18, 'total_tasks': 51}"
complex_heterogeneous_run_4,Power-Aware Min-Min,heuristic,13.3217260913029,6.348637969023138,2.8352538115777377,0.375,0.0038521289825439453,"{'scheduled_tasks': 18, 'total_tasks': 48}"
complex_heterogeneous_run_5,Power-Aware Min-Min,heuristic,18.115519075847395,3.681301157188313,5.161218598728209,0.37254901960784315,0.0015659332275390625,"{'scheduled_tasks': 19, 'total_tasks': 51}"
complex_heterogeneous_run_1,Energy-Efficient HEFT,heuristic,73.94696319006441,12.881602608267888,4.036764801813129,1.0,0.0009605884552001953,"{'scheduled_tasks': 52, 'total_tasks': 52}"
complex_heterogeneous_run_2,Energy-Efficient HEFT,heuristic,25.036825060456447,5.376806474284023,8.7412482157931,1.0,0.0006878376007080078,"{'scheduled_tasks': 47, 'total_tasks': 47}"
complex_heterogeneous_run_3,Energy-Efficient HEFT,heuristic,40.69212895730468,9.058507817238114,5.630066345248196,1.0,0.0007710456848144531,"{'scheduled_tasks': 51, 'total_tasks': 51}"
complex_heterogeneous_run_4,Energy-Efficient HEFT,heuristic,34.18777848504137,8.288363595984556,5.791251728297061,1.0,0.0006699562072753906,"{'scheduled_tasks': 48, 'total_tasks': 48}"
